//ver0.99 説明文がやばいのであまり読まないで
//コメント行は行頭//で、空白とかもNG,,,,,
//命令コード:命令名（ツール表示用）:フォーマット指示列:[引数種別 : フォーマット指定列: 説明ぶん ]0…n,,,,,
//項目ごとに１列つかう。引数種別は１つで1列を使う。1命令で3つ引数があるものは3列使う,,,,,
//種別記号は次の通り,,,,,
//”0”・・・数値(Int32),,,,,
//現在未使用”c1”・・・引数2つ比較用（命令、名前、比較元0、c1、比較先0),,,,,
//現在未使用”c2”・・・intレジスタとの比較用（命令、名前、C2、比較記号0～6、0）になる,,,,,
//現在未使用”c?”の直後の比較記号・・・0(==):1(<):2(<=):3(>):4(>=):5(!=),,,,,
//”L”・・・ラベル指定：文字列（C列がjump or labelの時だけこれ）,,,,,
//”J”・・・ジャンプ命令：ツール上では英数字でも内部で数値に置換される,,,,,
//,,,,,
//フォーマット指示列,,,,,
//数字の場合＝引数の数,,,,,
//c1、c2のとき上の比較用フォーマットを適用,,,,,
//label、ラベルフォーマット適用,,,,,
//jump、ジャンプフォーマット適用,,,,,
//なし、引数無し,,,,,
//ハイフン、予約行,,,,,
//,,,,,
//フォーマット指定列・１要素ごとにGUIで入力できる範囲を制限するためのやつ,,,,,
//i….int32 ,,,,,
//b...boolean,,,,,
//p...percent(0-100),,,,,
//min-max,,,,,
//,,,,,
//注意,,,,,
//敵と味方のAIは同様のコードが使われるので,,,,,
//敵の最弱HPメンバーを取得するのは絶対的な敵ではなく、敵が使えばユーザー側の最弱メンバーが,,,,,
//味方AIが使えば敵側の最弱メンバーを取得することになる。,,,,,
//,,,,,
//　コードID,命令詳細,引数FMT,引数の数,,
0,（命令セットの先頭のみ）プリセット番号を設定する,-,0,0,データをプリセットとして登録する、↓とは排他
1,（命令セットの先頭のみ）プリセット番号でルーチンを呼び出す,-,0,0,↑とは排他。プリセット呼出。呼出時はこの命令のみ
2,指定ラベルにジャンプ（boolレジスタがtrueの時）,J,,,
3,ラベル指定,L,,,
4,予約,-,,,
5,予約,-,,,
6,予約,-,,,
7,予約,-,,,
8,予約,-,,,
9,予約,-,,,
10,予約,-,,,
11,予約,-,,,
12,予約,-,,,
13,予約,-,,,
14,予約,-,,,
15,味方ターゲット指定(reg_int参照),,,,
16,敵ターゲット指定(reg_int参照),,,,
17,reg_int直接入れこみ,1,0,0,レジストリ(int)に直値を放り込む
18,reg_bool直接入れこみ,1,0,0,"レジストリ(bool)に直値を放り込む, 0= false, 1=true"
19,int:最弱HP敵の検索 (-1=none),,,,
20,int:最強HP敵の検索 (-1=none),,,,
21,int:最弱HP味方の検索 (-1=none),,,,
22,int:最強HP味方の検索 (-1=none),,,,
23,int:最強敵のレベル取得,,,,
24,予約,-,,,
25,予約,-,,,
26,予約,-,,,
27,予約,-,,,
28,予約,-,,,
29,bool：自分のHPが＜引数1＞％以下である？,1,0,0,指定の値は%です。0-100の間で入力
30,bool：regのHPが＜引数1＞％以下である？,1,0,0,指定の値は%です。0-100の間で入力
31,予約,-,,,
32,予約,-,,,
33,手持ち攻撃スキル自動発動,,,,
34,手持ち回復スキル自動発動,,,,
35,予約,-,,,
36,予約,-,,,
37,予約,-,,,
38,予約,-,,,
39,予約,-,,,
40,予約,-,,,
41,予約,-,,,
42,予約,-,,,
43,予約,-,,,
,,-,,,
